,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
0,Maruti Swift Dzire VDI,2014,450000,145500,1,Individual,1,1,23.4,1248,74.0,5.0
1,Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,1,Individual,1,2,21.14,1498,103.52,5.0
2,Honda City 2017-2020 EXi,2006,158000,140000,0,Individual,1,3,17.7,1497,78.0,5.0
3,Hyundai i20 Sportz Diesel,2010,225000,127000,1,Individual,1,1,23.0,1396,90.0,5.0
4,Maruti Swift VXI BSIII,2007,130000,120000,0,Individual,1,1,16.1,1298,88.2,5.0
5,Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,0,Individual,1,1,20.14,1197,81.86,5.0
6,Maruti Wagon R LXI DUO BSIII,2007,96000,175000,3,Individual,1,1,17.3,1061,57.5,5.0
7,Maruti 800 DX BSII,2001,45000,5000,0,Individual,1,2,16.1,796,37.0,4.0
8,Toyota Etios VXD,2011,350000,90000,1,Individual,1,1,23.59,1364,67.1,5.0
9,Ford Figo Diesel Celebration Edition,2013,200000,169000,1,Individual,1,1,20.0,1399,68.1,5.0
10,Renault Duster 110PS Diesel RxL,2014,500000,68000,1,Individual,1,2,19.01,1461,108.45,5.0
11,Maruti Zen LX,2005,92000,100000,0,Individual,1,2,17.3,993,60.0,5.0
12,Maruti Swift Dzire VDi,2009,280000,140000,1,Individual,1,2,19.3,1248,73.9,5.0
13,Maruti Wagon R LXI Minor,2009,180000,90000,0,Individual,1,2,18.9,1061,67.0,5.0
14,Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,0,Individual,1,1,18.15,1198,82.0,5.0
15,Maruti Ertiga SHVS VDI,2016,778000,70000,1,Individual,1,2,24.52,1248,88.5,7.0
16,Hyundai i20 1.4 CRDi Asta,2012,500000,53000,1,Individual,1,2,23.0,1396,90.0,5.0
17,Maruti Alto LX,2002,150000,80000,0,Individual,1,2,19.7,796,46.3,5.0
18,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,1,Individual,1,1,22.54,1396,88.73,5.0
19,Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,1,Individual,1,2,21.0,1461,64.1,5.0
20,Honda WR-V i-DTEC VX,2017,950000,50000,1,Individual,1,1,25.5,1498,98.6,5.0
21,Maruti Swift Dzire ZDI,2015,525000,40000,1,Individual,1,1,26.59,1248,74.0,5.0
22,Maruti SX4 ZDI,2012,600000,72000,1,Individual,1,1,21.5,1248,88.8,5.0
23,Tata Tigor 2017-2020 XZ,2018,500000,35000,0,Individual,1,1,20.3,1199,83.81,5.0
24,Maruti Baleno Delta 1.2,2016,575000,45000,0,Individual,1,1,21.4,1197,83.1,5.0
